,Value,Count,ancID,polyID,POP_COUNT,POP_AREA,CLASSDENS,POP_EST,TOTALFRACT,NEW_POP,NEWDENSITY
6840,1756897.0,36.0,22.0,1852.0,0.0,39.0,0.002,0.07200000000000001,0.96,0.0,0.0
6841,1756898.0,8.0,23.0,1851.0,0.0,46.0,0.002,0.016,0.17391304347826086,0.0,0.0
6842,1756899.0,147.0,24.0,1850.0,0.0,1485.0,0.003,0.441,0.20944148936170215,0.0,0.0
6843,1756957.0,1596.0,82.0,1792.0,0.0,2921.0,0.0001,0.15960000000000002,0.364883401920439,0.0,0.0
6844,1758771.0,1.0,21.0,1854.0,0.0,67.0,0.001,0.001,0.007518796992481203,0.0,0.0
6845,1758772.0,24.0,22.0,1853.0,0.0,30.0,0.002,0.048,0.888888888888889,0.0,0.0
6846,1760647.0,117.0,21.0,1855.0,0.0,566.0,0.001,0.117,0.11734028683181225,0.0,0.0
6847,1760648.0,49.0,22.0,1854.0,0.0,67.0,0.002,0.098,0.7368421052631579,0.0,0.0
6848,1760668.0,27.0,42.0,1834.0,0.0,559.0,0.0001,0.0027,0.007723112128146453,0.0,0.0
6849,1762524.0,16.0,21.0,1856.0,0.0,1021.0,0.001,0.016,0.09987515605493133,0.0,0.0
6850,1762525.0,288.0,22.0,1855.0,0.0,566.0,0.002,0.5760000000000001,0.5776752582489219,0.0,0.0
6851,1762526.0,17.0,23.0,1854.0,0.0,67.0,0.002,0.034,0.2556390977443609,0.0,0.0
